skill_name,aliases
develop business plans,"developing business plans, develop business plan, generate business plans, develop plans for business, produce business plans, create business plans"
develop classification systems,"generate classification systems, formulate classification systems, produce classification systems, develop classification system, developing classification systems"
develop data processing applications,
develop digital content,
develop e-learning plan,develop e-learning strategy
develop financial statistics reports,"developing financial statistics reports, launch financial statistics reports, evaluate financial statistics reports, develop financial statistical reports, establish financial statistics reports, produce financial statistics reports, develop a financial statistics report"
develop geological databases,"geological database development, creating of geological databases, creation of geological databases, creating geological databases, create geological databases, geological database creation, developing geological databases, development of geological databases, developing of geological databases"
develop investigation strategy,"establish intelligence strategy, establish investigation strategy, commence investigation strategy, expand investigation strategy, expand intelligence strategy, commence intelligence strategy"
develop management plans,"management plans developing, prepare management plans, management plans preparing, preparing management plans, management plan preparing, management plan developing, developing management plans"
develop membership strategies,"administer membership strategies, oversee membership strategies, manage membership services, supervise membership services, maintain membership strategies, supervise membership strategies, administer membership services"
develop methods for choreographic integration,"develop methods for passing on choreographic signature, define ways to transmit choreographic knowledge, develop integration methods for choreography, develop methods to integrate choreography"
develop military intelligence records,"developing military intelligence records, collate military intelligence records, developing records of military intelligence, military intelligence records developing, develop records of military intelligence, military intelligence record developing, collating military intelligence records, developing defence intelligence records, develop defence intelligence records"
develop mine rehabilitation plan,"mine rehabilitation plan development, development of mine rehabilitation plan, developing mining site restoration plan, developing restoration plan for mining site, development of restoration plan for mining site, develop mining site restoration plan, developing mine rehabilitation plan, developing of mine rehabilitation plan"
develop models,"develop a model, developing a model, produce models, establish models, evaluate models, launch models, developing models"
develop models for weather forecast,"create models for weather forecast, developing models for weather forecast, develop model for weather forecast, develop models for weather forecasts, set models for weather forecast, generate models for weather forecast, establish models for weather forecast"
develop occupational classification systems,"develop employment classification systems, design occupational classification system, design systems for occupational classification, develop vocational classification systems, develop job-related classification systems, designing occupational classification systems"
develop online sales business plan,"establish online sales business plan, evaluate online sales business plan, developing online sales business plan, develop an online sales business plan, launch online sales business plan, develop online sales business plans, produce online sales business plan"
develop physiotherapy services,"establish physiotherapy service, develop physiotherapy assistance, evolve physiotherapy service, establish physiotherapy services, evolve physiotherapy services"
develop professional network,"develop pro network, create professional network, developing professional network, build professional network, develop professional networks"
develop programming schedule,"develop programming schedules, set programming schedule, establish programming schedule, developing programming schedule, draft programming schedule, write programming schedule"
develop reporting software,
develop sewerage networks,"sewerage network creating, sewerage networks developing, sewerage network developing, creating sewerage networks, sewerage networks creating, developing sewerage networks, create sewerage networks"
develop site remediation strategies,"developing site remediation strategies, site remediation strategies development, site restoration plan making, make plans for site restoration, development of site remediation strategies, making of plans for site restoration, developing of site remediation strategies, site remediation strategy development, making plans for site restoration"
develop software prototype,"develop software throw-away simulation, develop software mockup"
develop solutions to information issues,"develop solutions to information technology issues, solve information-related issues, develop solutions to solve information issues, develop solutions to information needs and challenges, solve information-related problems, Information technology problem solving"
develop statistical software,"create statistical software, write statistical software, define statistical software, prepare statistical software, developing statistical software"
develop store design,"developing store designs, establish store design, develop a store design, produce store design, evaluate store design, develop store designs, launch store design"
develop strategies for electricity contingencies,"writing strategies for electricity contingencies, developing strategies for electricity contingencies, electricity contingency strategy writing, electricity contingencies strategies writing, electricity contingencies strategies developing, electricity contingency strategy developing"
develop strategy to solve problems,"come up with strategy to solve problems, develop strategy to solve problem, develop objectives, set goals, create strategy to solve problems, devise strategy, devise action plan, set targets, develop problem solving strategy, design strategy to solve problems, create implementation strategy, identify goals, strategic thinking, identify tasks, adapt implementation strategy, developing strategy to solve problems, develop strategies to solve problems, decide priorities"
develop terminology databases,"populate terminology databases, compile terminology databases, define terminology databases prepare terminology databases, write terminology databases, developing terminology database, developing terminology databases, draw up terminology databases, develop terminology database"
develop translation memory software,"define translation memory software, write translation memory software, translation memory software development, development of translation memory software, create translation memory software, prepare translation memory software"
develop work plans to solve problems,"undertake planning activities to achieve specific goals, plan activities to accomplish specific goals, develop plans to solve problems, develop work plans to resolve issues, develop work plans to tackle problems, plan activities to overcome obstacles, create plans to solve problems, plan activities to solve problems, create work plans to solve problems, produce work plans to solve problems"
diagnose conservation issues,"diagnose issues to be conserved, examine and diagnose conservation issues, assess objects to be restored, diagnose issues regarding conservation"
diagnose education problems,"identify education problems, diagnose education problem, determine education problems, diagnosing education problems, distinguish education problems"
diagnose patients with immunodeficiencies,"diagnose patient with immunodeficiency, diagnose patient with immunodeficiencies, diagnose immunodeficiencies in patients, examine diseases of the immune system, diagnose immunodeficiency in a patient"
digital camera sensors,"charged coupled device, complementary metal oxide semiconductor sensor, CMOS, sensors in digital cameras, CCD, typology of digital camera sensors, types of digital camera sensor"
digital compositing,
digital game genres,mechanics of digital games
digital marketing techniques,"web marketing techniques, online marketing techniques, on-line marketing techniques"
digital printing,"digital printings, electronic printing"
discern written communication,"discern written communications, interpret written communication, understand written communication, discern communication written by hand"
distributed computing,
distributed directory information services,"active directory, install directory services, directory service"
document analysis results,"record analysis results, recording analysis results, analysis results recording, documenting analysis results, analysis results documenting"
document project progress,"document project's progress, record project progress, register project progress, log project progress, document project progression, documenting project progress, write down project progress"
document restoration,"document rejuvenation, restoration of documents, document renewal, restoration of a document, document restoration, document revitalisation, document revival"
draw up artistic programming policy,"drawing up artistic programming policy, create artistic programming policy, produce artistic programming policy, draw up artistic programming policies, develop artistic programming policy, formulate artistic programming policy"
draw up artistic project proposals,"compose artistic project proposals, write artistic project proposals, draw up proposals for artistic projects, draw up artistic project proposal, create artistic project proposals, drawing up artistic project proposals"
draw up choreography,"document choreography, drawing up choreography, record choreography, write down choreography, register choreography"
draw up stage layouts digitally,"draw up stage layout digitally, draw up digital stage layouts, design stage layouts digitally, sketch stage layouts digitally, drawing up stage layouts digitally"
dyeing technology,"technologies of dyeing, dyeing technologies, theory and technology of dyeing, technology of dyeing, colour addition to textile materials technology, dyeing processes, colour addition to textile materials technologies, dyeing process"
e-learning,
e-learning software infrastructure,e-learning software infrastracture and applications
economics,"financials, economic practices, financial data, economic principles, finances, commodity markets, market economics, financial economics, banking"
edit digital moving images,"edit digital images of animation, edit digital images of movement, edit digital footage, edit moving digital images"
educate on data confidentiality,"educating on data confidentiality, instruct on data confidentiality, educate about data confidentiality, educating about data confidentiality, teach data confidentiality principles"
electric bicycles,"electric bikes, electric bicycle"
electric clocks,"electrical clocks, electric clocks and watches, electric watches, clocks powered by electricity, electric-powered clocks, electrical watches, quartz watches, electricity-powered clocks, clocks powered by electric"
electrical discharge,"power discharge, power current, power flow, electrical discharge, electrical emission, electrical current, electrical flow, power emission"
electrical power safety regulations,"safety measures regarding electrical power, safety regulations about electrical power, safety measures about electrical power, electrical safety regulations, electrical safety measures, safety regulations concerning electrical power, safety measures concerning electrical power, safety regulations regarding electrical power"
electron beam welding machine parts,"electron beam welding machine pieces, electron beam heating and bonding machine units, electron beam heating and bonding machine elements, electron beam welding machine elements, electron beam welding machine units, electron beam heating and bonding machine pieces, electron beam heating and bonding machine components, electron beam welding machine components"
electronic signals intelligence,"SIGINT, electronic monitoring, signals intelligence, electronic intelligence gathering, electronic signal interception"
emergent technologies,
encourage teams for continuous improvement,"encourage a team for continuous improvement, encourage teams to continuously improve, drive teams for continuous improvement, support teams for continuous improvement, empower teams for continuous improvement, praise teams for continuous improvement"
engage in citizenship through digital technologies,"make use of e-services, use e-services, use online payment solutions, using e-services, able to use e-services, utilise e-services, apply e-services"
engage with rail stakeholders,"liaise with railway stakeholders, engage with railroad stakeholders, liaise with rail stakeholders, communicate regularly with rail stakeholders, engage with railway stakeholders, maintain regular contact with rail stakeholders, ensure smooth rail operations through communication with stakeholders, communicate regularly with railway stakeholders, liaise with railroad stakeholders, maintain regular contact with railway stakeholders"
engineering principles,"engineering work principles, engineering research principles, engineering analysis principles, engineering studies principles, engineering principle, engineering fieldwork principles, engineering application principles"
ensure accurate screening of luggage in aerodromes,"ensure accurate screening of baggage in airports, screen hand luggage, ensure accurate luggage screening in aerodromes, inspect hand baggage, ensure accurate luggage screening in airports, screen aerodrome baggage items correctly, screen hand baggage, ensure accurate screening of baggage in aerodromes, ensure accurate screening of luggage in airports, inspect hand luggage, screen aerodrome luggage items correctly"
ensure compliance with construction project deadline,"ensuring compliance with construction project deadline, ensure compliance with construction project deadlines, management of construction projects, project management in construction, construction project management, ensure construction project deadline compliance"
ensure continuous preparedness for audits,"ensure continuous preparedness for an audit, ensure continuous preparation for audits, secure continuous preparedness for audits, assure continuous preparedness for audits, maintain continuous preparedness for audits, establish continuous preparedness for audits"
ensure efficient communication in air traffic services,"implement efficient air traffic service communication procedures, ensure effective communication in air traffic services, facilitate effective communication in air traffic services, ensure efficient communication exchange in ATS, ensure effective communication in ATS, implement effective air traffic control communication exchange procedures, ensure efficient communication exchange in air traffic services, communicate with air traffic control, facilitate efficient communication in air traffic control, carry out effective air traffic communication procedures, ensure efficient communication in ATS"
ensure efficient utilisation of warehouse space,"effectively utilise warehouse storage space, efficiently manage warehouse space, ensure effective use of warehouse space, ensure effective utilisation of warehouse space, ensure efficient use of warehouse space, efficiently utilise warehouse storage space, ensure efficient utilisation of warehouse storage, ensure efficient use of space in warehouse, manage warehouse space effectively"
ensure lawful business operations,"guarantee lawful business operations, certify lawful business operations, ensure lawful business operation, ensuring lawful business operations, ensure business operations are lawful"
ensure pharmacovigilance,"report on adverse reactions of pharmaceutical products, ensure pharmaco-vigilance, assure pharmacovigilance"
ensure proper visualisation of the operating site,"ensure adequate visualisation of the operating site, ensure proper visualization of operating site, ensure proper visualisation of operating sites, ensure adequate visualisation of the operating room, ensure proper visualization of operating sites, provide proper visualisation of the operating site"
ensure regulatory compliance in pipeline infrastructures,"confirm pipeline compliance with regulations, ensure compliance with pipeline infrastructure regulations, ensure pipeline infrastructure legal compliance, ensure legal compliance in pipeline infrastructures, undertake pipeline infrastructure legal compliance activities, make sure pipeline infrastructure meets legal regulations, make sure pipeline infrastructure complies with regulations, ensure pipeline infrastructure regulation compliance"
ensure safety in electrical power operations,"safety in electrical power operations ensuring, safety maintaining in electrical power operations, maintaining safety in electrical power operations, maintain safety in electrical power operations, ensuring safety in electrical power operations, safety in electrical power operations maintaining, safety ensuring in electrical power operations"
ensure special requirements for goods in storage,"provide special requirements for goods in storage, secure special requirements for goods in storage, ensuring special requirements for goods in storage, assure special requirements for goods in storage, enable special requirements for goods in storage, ensure that special requirements are in place for goods in storage, ensuring special requirements for goods in store"
ensure tram system power supply,"maintain tramline power supply, maintain tramway power supply, ensure power supply for the tram system, perform power maintenance activities for tramways, ensure power supply for the tramway, conduct power maintenance activities for tram systems, ensure power supply for tramlines, ensure tramline power supply, maintain tram network power supply, ensure tram network power supply, ensure power supply for tram network, ensure tramway power supply"
entrepreneurship,"business initiative, entrepreneurialism"
establish communication with foreign cultures,"establish communication with international cultures, establishing communication with foreign cultures, establish foreign culture communication, establish communication with foreign culture, initiate communication with foreign cultures"
establish educational network,"establish a network of education, establish an educational network, develop network of education, develop network of educational partnerships"
estimate restoration costs,"estimating restoration costs, estimate restoration cost, measure restoration costs, estimating restoration cost, assess restoration costs, value restoration costs, evaluate restoration costs"
estimate restoration costs of antique items,"assess restoration costs of antique items, measure restoration costs of antique items, value restoration costs of antique items, evaluate restoration costs of antique items, estimate the restoration costs of antique items, estimate restoration costs of an antique item"
european classification of inland waterways,"CEMT classification of inland waterways, classes of european inland waterways, categorisation of european inland waterways, classification of european inland waterways, designations assigned to european inland waterways, categories of european inland waterways, european categorisation of inland waterways, designations assigned to inland waterways in europe"
"evaluate data, information and digital content",
evaluate forensic data,"audit forensic data, determine scene of crime data, assess scene of crime data, determine forensic data, assess forensic data, check forensic data, audit scene of crime data, check scene of crime data"
evaluate genetic data,"apply statistical calculations to genetic data, analyze genetic data, analyse genetic data"
evaluate information services using metrics,"evaluate information service using metrics, assess information services using metrics, rate information services using metrics, evaluating information services using metrics, using metrics to evaluate information services, gauge information services using metrics"
evaluate mine development projects,"assessment of mine development projects, evaluating mine development projects, evaluation of mine development projects, development project evaluation in mining, mine development project assessment, mine development project evaluation, development project assessment in mining, assess mine development projects, assessing of mine development projects, evaluating of mine development projects"
evaluate project plans,"evaluate project plans' feasibility, evaluate project planning, assess project planning, judge project plans, evaluate proposal plans, judge project planning, assess project plans"
evaluate restoration procedures,"evaluate procedures to restore, assess conservation procedures, evaluate procedures of restoration, analyse restoration procedures"
evaluate the psychological impact of speech problems,"evaluate psychological impacts of speech problems, identify psychological impact of speech problems, assess psychological impact of speech problems, evaluate psychological impact of a speech problem"
evaluate vineyard problems,"assess problems in vineyard, assessing problems in vineyard, vineyard problem assessing, evaluate problems in vineyard, assessing vineyard problems, vineyard problems evaluating, evaluating vineyard problems, evaluating problems in vineyard, vineyard problems assessing, vineyard problem evaluating, assess vineyard problems"
evidence-based approach in general practice,"evidence-based approach in medical care, evidence-based medicine in general practice, evidence-based approach in primary care"
execute ICT user research activities,
execute integration testing,test interface between software components
expand the network of providers,"extend network of providers, expand the network of providers, broaden network providers' services, expand providers' network"
explain characteristics of computer peripheral equipment,"explaining the characteristics of computer peripheral equipment, describe characteristics of computer peripheral equipment, clarify characteristics of computer peripheral equipment, demonstrate characteristics of computer peripheral equipment, explain the characteristics of computer peripheral equipment, disclose characteristics of computer peripheral equipment, explaining characteristics of computer peripheral equipment"
financial analysis,"commercial analysis, economic analysis, business analysis, fiscal analysis, fiscal audit, economic audit"
financial capability,"financial capabilities, financial skills, financial acumen, financial abilities, financial knowledge"
find trends in geographic data,"trends in geographic data, uncover trends in geographic data, identify trends in geographic data, discover trends in geographic data, geographic data trends, determine trends in geographic data"
fish identification and classification,"identification and classification of fish, techniques in fish identification and classification, aquatic species identification and classification, methods for aquatic species identification and classification, methods for fish identification and classification, techniques in aquatic species identification and classification, typology for fish identification and classification, typology for aquatic species identification and classification"
fluid mechanics,"solvent mechanics, solvent mechanisms, plasma mechanics, liquefied mechanisms, liquid mechanisms, liquid mechanics, liquefied mechanics, plasma mechanisms"
follow an environmental friendly policy while processing food,"use an environmental friendly policy while processing food, consider an environmental friendly policy while processing food, follow an environmental friendly policy while processing foods, follow environmental friendly policies while processing food, operate an environmental friendly policy while processing food, utilise an environmental friendly policy while processing food"
follow procedures in the event of an alarm,"follow company instructions in emergency situations, react appropriately to an alarm or emergency, act in accordance with procedures in the event of an alarm or emergency, act in accordance with procedures in the event of an alarm, apply procedures in the event of an alarm, follow procedures in the event of an alarm or emergency on board, react appropriately to an alarm, adhere to procedures in the event of an alarm, adhere to company instructions in emergencies, follow procedures in the event of an on board emergency or alarm, apply procedures in the event of an alarm or emergency, follow procedures in the event of an on board alarm"
follow reporting procedures,"mind reporting procedures, following reporting procedures, follow report procedures, respect reporting procedures, follow reporting procedure, heed reporting procedures"
follow up pipeline integrity management priorities,"perform follow up actions for pipeline infrastructure management, monitor pipeline integrity management priorities, follow up priority actions taken in pipeline infrastructure management, pursue pipeline integrity management priorities, follow up priorities in pipeline integrity management, conduct follow up actions for pipeline infrastructure management, pursue priorities in pipeline integrity management, pursue priority actions taken in pipeline infrastructure management"
forecast catering services,"foresee catering services, forecasting catering services, predict catering services, forecast services for catering, forecast catering service"
forecast energy prices,"predicting energy prices, energy prices predicting, energy price predicting, energy price forecasting, energy prices forecasting, predict energy prices, forecasting energy prices"
forecast future ICT network needs,
forecast timber production,"forecast timber production, forecast production of timber, predicting production of timber, timber production predicting, predicting timber production, timber production forecasting, forecasting timber production, forecasting production of timber, predict timber production, predict production of timber"
forensic intelligence,"juristic investigation, juristic understanding, forensic judgement, forensic investigation, forensic understanding, juristic judgement"
forest ecology,"ecology of forest, ecosystems of forests, types of forestry ecosystems, typology of forestry ecosystems, typology of forest ecology, ecology of forests, range of forest ecologies, range of forestry ecosystems, types of forest ecology, forestry ecosystems"
form continuous bands,"forming continuous bands, continuous bands forming, continuous bands creating, continuous band forming, creating continuous bands, create continuous bands, continuous band creating"
formulate a treatment plan,"create a treatment plan, produce a treatment plan, write a treatment plan, formulate a plan for treatment, formulate a plan of treatment, formulate a patient's treatment plan"
fossil-fuel power plant operations,"operations in fossil-fuel power plants, fossil-fuel power station operations, operating fossil-fuel power plants, operations in fossil-fuel power stations, operations in coal-fired power plants, operations in oil-fired power plants, production of electricity using fossil fuels"
framework for a safety management system,"content of a safety management system, framework of a system of safety management, content of safety management systems, composition of a safety management system, structure of a system of safety management, constitution of a safety management systems, contents of a safety management system, framework of a safety management system, structure for a safety management system, structure of a safety management system"
galvanise metal workpiece,"trigger metal workpiece, hot dip metal finished products, spark metal workpiece, protect metal finished products, energise metal workpiece, electrify metal workpiece, electro galvanise metal finished products, coat metal finished products"
gather data,"assemble data, gavering data, convene data, data gavering, collect data, aggregate data"
gather experimental data,"collect experimental data, accumulate experimental data, experimental data gathering, compile experimental data, gathering of experimental data"
gel permeation chromatography,"analysis of polymer, GPC, polymer analysis, polymer analysis technique"
generate reconciliation reports,"reconciliation of production plans and production data, generating reconciliation reports, production plan and production data reconciliation, reconciliation report generation, generating of reconciliation reports, reconciling production plans and production data, reconciliation report generating, generation of reconciliation reports, reconcile production plans and production data"
genetics,"genetic variation, Genetics, heredity"
geographical areas relevant to tourism,"geographical areas for tourism, worldwide tourist destinations, geography, tourism-related geographical areas"
geothermal power generation methods,"generation of geothermal electricity, methods of geothermal power generation, geothermal electricity generation, typology of geothermal power generation, processes in geothermal electricity generation, types of geothermal power generation"
geothermal power plant operations,"generation of geothermal power, geothermal power generation, operations in geothermal power plant, processes in geothermal power generation, geothermal power plant operating, operations in geothermal power plants"
goods transported from warehouse facilities,"materials transported from warehouse facilities, warehouse commodities, products transported from warehouses, warehouse transportation products, commodities transported from warehouse facilities, goods transported from warehouses, warehouse transportation network goods, products transported form warehouse facilities, warehouse goods, warehouse products"
government representation,"state governance approval, government engagement, participation in state governance, state governance participation, government approval, participation in government, state governance engagement, government participation"
grammar,"syntax, parsing"
graphics editor software,
green computing,
"guidance, navigation and control","guidance, navigation and control of vehicles, ships guidance, navigation and control, GN&C, aircraft guidance, navigation and control, GN&C of vehicles"
handle data samples,
handle fragile items,"deal with fragile items, handle a fragile item, administer fragile items, operate with fragile items, conduct fragile items, handling fragile items, fragile item handling"
handle geospatial technologies,"use RS, geo-spatial technologies handling, use remote sensing, use geographical information systems, geospatial technologies handling, handling geo-spatial technologies, use global positioning systems, handling geospatial technologies, use GIS, use GPS, handle geo-spatial technologies"
handle helpdesk problems,"deal with helpdesk problems, handle a helpdesk problem, handling a helpdesk problem, solve helpdesk problems, administer helpdesk problems, handling helpdesk problems, support helpdesk problems"
handle paperwork related to warehouse stock,"handling the paperwork related to warehouse stock, employ paperwork related to warehouse stock, handling paperwork related to warehouse stock, handle the paperwork related to warehouse stock, use paperwork related to warehouse stock, implement paperwork related to warehouse stock, utilise paperwork related to warehouse stock"
handle warranty for digital equipment,
hang wallpaper,"papering walls, hanging of wallpaper, wallpaper hanging, papering, hanging wallpaper, wallpapering, papering wall"
have computer literacy,"have good computer literacy, demonstrate computer literacy, be computer-literate, computer literacy"
have emotional intelligence,"own emotional intelligence, recognize other people's emotions, possess emotional intelligence, recognize other people's emotion, obtain emotional intelligence"
health informatics,"field of health information technology, field of healthcare informatics, use of health information technology, field of health informatics, application of health information technology, science of health informatics, science of healthcare informatics"
healthcare data systems,"types of healthcare data systems, healthcare data system types, healthcare user data management, healthcare data system, health care data systems"
help the programmer define an artistic vision,"help achieve an artistic vision, help the programmer define the vision of an artist, help define an artistic vision for the programmer, help the director define an artistic vision"
history of patient's psychotherapeutic problems,"records of patient's psychotherapeutic problems, records of psychotherapeutic problems, history of psychotherapeutic problems, history of patient's psychotherapeutic disorders"
hot winding,"hot coiling process looping, hot twisting, hot coiling process braiding, hot circuits, hot braiding, hot coiling process twisting, hot coiling process circuits, hot looping"
hybrid control systems,"kinds of hybrid control systems, typology of hybrid control systems, types of hybrid control systems, ?"
hydraulic fracturing,"hydraulic fracking, fracking"
hydroelectricity,"hydro-power electricity, hydropower electricity, hydro-electricity, hydroelectric power, water power electricity, hydroelectrical power"
hydrography,the study of water bodies
identify ICT system weaknesses,
identify ICT user needs,ICT user needs identification techniques
identify available services,"analyse rehabilitation services, determine rehabilitation services, analyse available services, classify rehabilitation services, establish rehabilitation services, determine available services, establish available services, classify available services"
identify condensation problems,"identify moisture problems, identify condensation problem, locate condensation problems, find condensation problems, identifying condensation problems, identify condensation issues, identify problems with condensation, discover condensation problems"
identify defects on raw hides,"hide defects tracking, spot defects on raw hides, defects tracking on skins and hides, identify hides defects, identify hides and skins defects, leather defects tracking, identify defects on raw hides and skins"
identify digital competence gaps,
identify indicators of problem gambling,"identify problem gambling indicators, recognise indicators of problem gambling, spot indicators of problem gambling, identifying indicators of problem gambling, pinpoint indicators of problem gambling"
identify learning disorders,"ascertain learning disorders, identifying learning disorders, identify learning disorder, recognize learning disorders, determine learning disorders, identify learning delays"
identify needs and technological responses,
identify new business opportunities,"determine new business opportunities, analyse new business opportunities, identify a new business opportunity, classify new business opportunities, diagnose new business opportunities, identifying a new business opportunity, identifying new business opportunities"
identify processes for re-engineering,"classify processes for re-engineering, identification of processes for re-engineering, analyse processes for re-engineering, determine processes for re-engineering, identifying processes for re-engineering, diagnose processes for re-engineering, identify a process for re-engineering"
identify purpose of analysis,"determine purpose of analysis, select purpose of analysis, define purpose of analysis, identify analysis purpose, identifying analysis purpose"
identify statistical patterns,"examine statistical patterns, identifying statistical patterns, evaluate statistical patterns, assess statistical patterns, determine statistical patterns, identify statistical pattern"
identify with the company's goals,"identify with the company's vision and goals, understand and pursue the company's goals, identify with the company's mission, make the company's goals one's own"
immunohaematology,"blood group serology, study of antigen-antibody reactions, immuno-haematology, immunohematology"
implement ICT network diagnostic tools,
implement ICT safety policies,"apply on-line safety guidelines, ICT safety policies implementing, on-line safety guidelines applying, implement computer network safety policies, implementing computer network safety policies, computer network safety policies implementing, implementing ICT safety policies, applying on-line safety guidelines"
implement a firewall,"install a firewall, installing a network security firewall, installing a firewall, network firewall implementing, firewall implementing, install a network security firewall, implementing a firewall, implementing network firewall, implement network firewall"
implement a virtual private network,"installing a virtual private network, virtual private network implementing, VPN implementing, VPN installing, implementing a virtual private network, installing a VPN, install a VPN, implementing a VPN, virtual private network installing, implement a VPN"
implement anti-virus software,"loading malware protection, anti-virus software installing, installing anti-malware software, anti-malware software installing, install anti-virus software, anti-virus software implementing, install anti-malware software, implementing anti-virus software, load malware protection, installing anti-virus software"
implement data quality processes,verify data
implement environmental action plans,"facilitate implementation of environmental actions plans, execute environmental management plans, deliver environmental action plans, execute environmental action plans, undertake activities to realise environmental management plans, carry out environmental action plans, put plans that address environmental matters into action, carry out environmental management plans, perform activities to realise environmental action plans, implement environmental management plans, realise environmental management plans, action environmental management plans"
implement soap formula,"soap formula implementing, soap formula applying, implementing soap formula, applying soap formula, apply soap formula"
implement veterinary clinical governance,"conduct clincal self audit in veterinary sector, apply clinical governance principles to veterinary medicine, implement clinical governance in the veterinary sector"
imprint visionary aspirations into the business management,"imprint business management visionary aspirations, imprint visionary aspiration into the business management, Integrate visionary aspirations into the business management, imprint visionary goals into the business management, imprinting visionary aspirations into the business management, incorporate visionary aspirations into the business management"
industrial engineering,"industrial engineering research, industrial engineering studies, industrial engineering applications, industrial engineering work, industrial engineering analysis, industrial engineering fieldwork, engineering for industry, industrial engineering analyses"
industrial software,"estimating software, software for industry, continuing professional development in industrial tools and software, software used in industrial, design software, production software, industrial application of software, industrial software"
information governance compliance,"information compliance governance, governance information compliance, company policy compliance, governance, risk and compliance"
inspect data,"assess data, data inspection, look at data, check data, inspecting data, inspection of data, appraise data"
inspect overhead power lines,"overhead power lines inspecting, overhead power line inspecting, overhead power line checking, checking overhead power lines, inspecting overhead power lines, overhead power lines checking"
inspect pipelines,"inspecting pipelines, check flow lines, checking flow lines, checking pipelines, checking of pipelines, inspecting of pipelines, check pipelines, pipeline inspection, inspection of pipelines"
inspect underground power cables,"inspecting underground power cables, underground power cables inspecting, assess underground power cables, underground power cable inspecting, assessing underground power cables, underground power cables assessing, underground power cable assessing"
inspire enthusiasm for nature,"inspiring enthusiasm for nature, awaken enthusiasm for nature, inspires enthusiasm for nature, engender enthusiasm for nature"
install automation components,"fit automation components, automation component installing, fitting automation components, installing automation components, automation component fitting, automation components fitting, automation components installing"
install concentrated solar power systems,"installing concentrated solar power systems, concentrated solar power systems fitting, concentrated solar power systems installing, fitting concentrated solar power systems, concentrated solar power system fitting, concentrated solar power system installing"
install deicing boot,"build in deicing boot, establish deicing boot, install ice protection system, mount deicing boot, set up deicing boot, install deicing boots"
install electronic communication devices on trains,"set up electronic communication equipment on trains, install electronic communication equipment on trains, install communication devices on trains, carry out installation of electronic communication systems used in trains, install, adjust, and test train electronic communication apparatus, perform installation of electronic communication systems used in trains, perform installation of electronic communication equipment used in trains, install electronic communication apparatus on trains, install communication equipment on trains, set up electronic communication devices on trains, install, adjust, and test train electronic communication equipment"
install hardware,"computer hardware assembling, assembling computer hardware, assembling computer components, computer components assembling"
install hydraulic systems,"build hydraulic systems, introduce hydraulic systems, inaugurate liquid fluid power machinery, build liquid fluid power machinery, introduce liquid fluid power machinery, implement hydraulic systems, inaugurate hydraulic systems, implement liquid fluid power machinery"
install inverter,"fitting DC/AC inverter, power inverter installation, installing inverter, fit DC/AC inverter, install power inverter, inverter installation, fit power inverter, installing power inverter, installation of power inverter, installation of inverter, fitting power inverter"
install lightning protection system,"fit lightning conductor, lightning protection system installation, fitting lightning conductor, installation of lightning protection system, install lightning conductor, installing lightning protection system, installing lightning conductor"
install mechatronic equipment,"fit mechatronic equipment, mechatronic equipment fitting, installing mechatronic equipment, fitting mechatronic equipment, mechatronic equipment installing"
install operating system,"OS loading, load OS, installing operating system, operating system loading, installing OS, install OS, loading operating system, OS installing, loading OS, load operating system, operating system installing"
install power lines,"power lines commissioning, installing power lines, power lines installing, commissioning power lines, power line commissioning, power line installing"
install software,"computer software installing, installing of computer software, loading of software, loading computer software, installing computer software, software installing, load computer software, software loading, loading software, installing software, load software, computer software loading, loading of computer software, installing of software, install computer software"
install spring suspension,"put spring suspension, install a spring suspension, place spring suspensions, build in spring suspension, institute spring suspension, installing a spring suspension"
instruct in sport,"instructions in sport, sport instruction, carry out sports instructions, perform sport instruction"
