skill_name,aliases
SQL Server Integration Services,"Microsoft SQL Server Integration Services, Microsoft SSIS, SSIS"
SaaS (service-oriented modelling),
Sakai,Sakai Project
Samurai Web Testing Framework,
Sanskrit,"sanskrit language, sanskrit alphabet, pronunciation and language"
Scala,
Schoology,
Scratch (computer programming),
Serbian,
Slovak,
Smalltalk (computer programming),
Swedish,
Swift (computer programming),
Taleo,
Teradata Database,"Teradata Integrated Data Warehouse, Teradata"
TripleStore,
TypeScript,
VBScript,
Visual Studio .NET,dot net
Walloon,
WebCMS,
Wireshark,
WizIQ,
WordPress,
XQuery,"XQuery 3.0, XQuery 1.0"
Xcode,"Xcode 7, Xcode 6, Xcode 5, Xcode 4, Xcode IDE"
Yiddish,
abide by business ethical code of conducts,"consent to business ethical code of conducts, accept  business ethical code of conducts, concede business ethical code of conducts, abide by a business ethical code of conduct, acknowledge business ethical code of conducts, abiding by a business ethical code of conducts, abide by the business ethical code of conduct"
accept constructive criticism,"welcome constructive criticism, accept criticism which is constructive, embrace constructive criticism: handle feedback, take constructive criticism, accepting constructive criticism, accept feedback"
acquire system component,
actuarial science,"scientific financial analysis, actuarial sciences, bookkeeping science"
adapt communication style according to recipient,"adjust communication style according to target audience, adapt style of communication according to recipient, adapt style of communication according to  recipient, develop rapport with target audience by adjusting communication style, develop rapport with recipient by adapting style of communication, adapt communication style according to target audience, develop rapport with target audience by adjusting style of communication, change style of communication according to target audience, adjust style of communication according to recipient"
adapt to artists' creative demands,"meet demands by creative artists, adapt to demands by creative artists, adapt to artists' creative vision, adapt to creative demands of artists"
adapt to new technology used in cars,"adapt to the use of new car technology, adjust to technological developments in cars, adjust to developments in automobile technology, adapt to the use of new technology in cars, be adaptable to new technology used in automobiles, adjust to developments in car technology, be adaptable to new technology used in cars, adapt to new technology in cars, adjust to technological developments in automobiles, adapt to new automobile technology, adapt to new technology used in automobiles"
add computer components,"computer component addition, adding computer components, supplement computer components, affix computer components, add a computer component, append computer components, boost computer components"
address aircraft mechanical issues,"resolve aircraft mechanical problems, recognise and solve aircraft mechanical issues, deal with mechanical issues of aircraft, handle aircraft mechanical issues, deal with aircraft mechanical issues, address aircraft mechanical problems, address mechanical issues of aircraft, recognise and solve aircraft mechanical problems, identify and resolve mechanical issues in aircraft, identify and resolve aircraft mechanical issues, identify and resolve aircraft mechanical problems, deal with aircraft mechanical problems"
address problems critically,"addressing problems critically, critically address problems, thinking about problems critically, think critically about problems, critically addressing problems, think about problems critically, thinking critically about problems"
adhesives,"hot adhesives, drying adhesives, multi-part adhesives, typology of adhesives, types of adhesive, contact adhesives, one-part adhesives, reactive adhesives, adhesive types, pressure-sensitive adhesives, non-reactice adhesives"
adjust ICT system capacity,adjust ICT network capacity
adjust the work during the creative process,"adjust the process of creative work, make adjustments to the work in process, adjust the work throughout the creative process, amend the work to meet necessary requirements"
administer medication for vision problems,"administer medication for vision problem, control medication for vision problem, direct medication for vision problems, control  medication for vision restrictions, control  medication for vision difficulties, control medication for vision problems, administer medical treatment for vision problems, medicate people with vision problem, control medication for vision limitations"
adult education,"adult students learning, adult apprenticeships, adult teaching, adult apprenticeship, adult students education, grown-up learning, adult training, adult learning, adult trainings, adult pedagogy"
advise clients on moving services,"offer recommendations on the use of moving services, supply information on moving services, provide advice on moving services, supply information on relocation services, inform customers about relocation services, give advice on relocation services, advise clients on relocation services, give advice on moving services, inform customers about moving services, provide advice on relocation services"
advise customers on power requirements of products,"advise a customer on power requirements of products, advise customers on the power requirements of products, help customers on power requirements of products, recommend customers on power requirements of products, suggest customers on power requirements of products, advising customers on power requirements of products, commend customers on power requirements of products, instruct customers on power requirements of products"
advise customers on type of computer equipment,"advise a customers on a type of computer equipment, advising customers on a type of computer equipment, instruct customers on type of computer equipment, commend customers on type of computer equipment, advise customers on types of computer equipment, help customers on type of computer equipment, recommend customers on type of computer equipment, suggest customers on type of computer equipment"
advise customers on vehicle's extra services,"instruct customers on vehicle's extra services, advise customers on a vehicle's extra services, advising  a customer on a vehicle's extra services, advise a customer on a vehicle's extra services, suggest customers on vehicle's extra services, recommend customers on vehicle's extra services, commend customers on vehicle's extra services, help customers on vehicle's extra services"
advise on communication strategies,"advise on communications strategies, offer suggestions on communication strategies, advise on communication strategy, advising on communication strategies, counsel on communication strategies, give recommendations on communication strategies"
advise on funeral services,"give recommendations on on funeral services, advise on services for funeral, give advice on funeral services, advise on funeral service, offer suggestions on funeral services, advising on funeral services"
advise on learning methods,"confer on learning methods, make recommendations on learning methods, advises on learning methods, consult on learning methods, advising on learning methods"
advise on manufacturing problems,"manufacturing problems advising, give advice on manufacturing problems, giving of advice on manufacturing problems, advising about manufacturing problems, giving advice on manufacturing problems, manufacturing problems advice giving, advising on manufacturing problems"
advise on risk management,"recommend on risk management, propose on accident management, strategise on accident management, strategise on risk management, recommend on accident management, propose on risk management, suggest on risk management, suggest on accident management"
advise patients on vision improvement conditions,"advise patients on strategies to improve vision, advise patients on vision improvement strategies, advise patients on approaches to vision improvement, give advice on strategies to enhance patient vision, give patients advice on strategies and conditions that can enhance their vision, advise patients on conditions to improve vision, provide advice on conditions that can enhance patient vision, provide advice on strategies to improve patient vision, provide advice on approaches that can enhance the vision of patients, advise patients on vision improvement conditions"
agricultural business management,"methods of agricultural business operations, techniques of agricultural business management, methods of agricultural business management, business operations in agriculture, business management in agriculture, principles of agricultural business operations, principles of agricultural business management, techniques of agricultural business operations"
airport planning,"planning for airport operations, airport scheduling activities' scheduling and planning activities in airports, programming for airports, airport programming, planning for airport activities, airport strategic planning, airport operational planning"
algorithms,"formulae, formulas, algorithmic, algorithm"
align efforts towards business development,"align business development efforts, aligning efforts towards business development, align effort towards business development, coordinate efforts towards business development, align efforts towards business growth"
align software with system architectures,
allergic cosmetics reactions,"allergic cosmetics repercussion, allergic cosmetics reaction, allergic cosmetic reaction, allergic cosmetics after effect, allergic cosmetics aftermath, allergic cosmetic reactions"
alter management,"revise management, altering management, change management, rework management"
analog electronics theory,
analyse big data,"investigate big data, test big data, analysing big data, scrutinise big data, search big data, big data analysing, big data analysis"
analyse business plans,"analyse business plan, evaluate business plans, analyse business plan feasibility, gauge business plans, analyse business formal statements"
analyse business requirements,"analyse customer product risks, business requirements analysis"
analyse data about clients,"analyse data about guests, analyse data on clients, analyse clients interests, analyse data about customers, analyse customer interests, analyse client data, analyse guests interests, analyse data about visitors, undertake customer analysis"
analyse data for aeronautical publications,"analyse data for aviation publications, evaluate data for aeronautical publications, create aeronautical publication amendments through data analysis, conduct aeronautical data analysis for incorporation into aeronautical publications, assess data for aeronautical publications, collect, edit, and analyse data for incorporation into aeronautical publications, evaluate data for aviation publications, analyse civil aviation authority data for incorporation into aeronautical publications, develop aeronautical publication amendments through data analysis, assess data for aviation publications"
analyse data for policy decisions in trade,"analyse data for a policy decision in trade, analysis of data for policy decisions in trade, analysing data for policy decisions in trade, investigate data for policy decisions in trade, test data for policy decisions in trade, scrutinise data for policy decisions in trade, search data for policy decisions in trade"
analyse drill engineering,"report on well drilling, drill engineering monitoring, analysing of drill engineering, analysis of drill engineering, analysing drill engineering, analyse well drilling, monitor drill engineering, drill engineering analysis"
analyse ecological data,"analysing ecological data, analyse data on ecology, interpret ecological and biological data, examine ecological data"
analyse environmental data,"evaluate environmental data, examine environmental data, analysing environmental data, survey environmental data, review environmental data, inspect environmental data"
analyse experimental laboratory data,"analyze experimental laboratory data, interpret experimental laboratory data, interpret results of laboratory experiments, examine experimental laboratory data"
analyse information systems,"review information systems, evaluate information systems, analyse information system, analysing information systems, analyse info systems, examine information systems"
analyse large-scale data in healthcare,"interpret large-scale data in healthcare, carry out large-scale data in healthcare, analyse statistic in healthcare, evaluate large-scale data in healthcare, examine large-scale data in healthcare, analyze large-scale data in healthcare, analyse big data in healthcare, analyse large-scale data in health care, analyse statistics in healthcare, assay large-scale data in healthcare"
analyse network bandwidth requirements,measure network bandwidth requirements
analyse oil operations data,"data recording for oil operations, oil operations data recording, analysing data for oil operations, record oil operations  data, recording oil operations data, data analysis for oil operations, recording of oil operations data, oil operations data analysis, recording data about oil operations, analysing oil operations data, analysis  of oil operations data"
analyse packaging requirements,"analyse packaging requirment, scrutinise packaging requirements, investigate packaging requirements, test packaging requirements, analyse a packaging requirement, search packaging requirements"
analyse pipeline database information,"conduct analysis on pipeline database information, assess pipeline database information, analyse information in pipeline databases, retrieve and analyse information from pipeline company database, assess information in pipeline databases, evaluate pipeline database information, perform analysis on pipeline database information, retrieve and assess information from pipeline company database, evaluate information in pipeline databases"
analyse problems for opportunities,"analyse problems for an opportunity, scrutinise problems for opportunities, investigate problems for opportunities, analyse a problem for opportunities, analysis of problems for opportunities, search problems for opportunities, test problems for opportunities"
analyse requirements for moving goods,"identify goods relocation requirements, evaluate requirements for moving goods, determine goods relocation requirements, assess requirements for moving goods, determine requirements for relocating goods, assess the requirements for the movement of goods, evaluate the requirements for the movement of goods, determine requirements of relocating goods, analyse the requirements for the movement of goods, identify requirements for the relocation of goods, establish goods relocation requirements"
analyse route possibilities in pipeline projects,"assess route options in pipeline projects, conduct evaluation on pipeline route possibilities, evaluate route possibilities in pipeline projects, carry out analyses of pipeline route options, conduct analysis on pipeline route possibilities, identify the best route options for pipelines by conducting analysis, analyse route options in pipeline projects, assess route possibilities in pipeline projects, evaluate route options in pipeline projects, identify the best route possibilities for pipeline projects"
analyse scanned data of the body,"analyse 3D scanner body data, use 3D scanned data for computer-aided visualisation, use 3D scanned data for computer-aided visualization, examine scanned body data, examine and use scanned data of the body, analyse 3D scanner data of the body, examine and use scanned body data, analyse scanned body data, examine scanned data of the body"
analyse scientific data,"study scientific data, analysing scientific data, survey scientific data, review scientific data, examine scientific data, analyse science data, scrutinize"
analyse supply chain trends,"conduct evaluations of supply chain trends, analyse evolutions in supply chains, analyse trends in supply chains, evaluate supply chain trends, perform analyses of supply chain trends, make assessments of supply chain tends, assess trends in supply chains, assess supply chain trends, analyse supply chain evolution, carry out analyses of supply chain trends, perform supply chain analysis activities"
analyse test data,"analysing test data, examine test data, analyze test data, evaluate test data, assess test data, analyzing test data"
analyse transport business networks,"evaluate transportation business networks, make assessments of transportation business activities, conduct assessments of transport business networks, carry out evaluations of transport business networks, evaluate transport business networks, analyse networks of transport businesses, analyse networks of transportation businesses, perform analyses of transport business networks, conduct transport business network analysis, analyse transportation business networks"
analyse transport studies,"evaluate transport studies, analysing transport study, examine transport studies, analyze transport studies, analysing transport studies, assess transport studies"
analyse weather forecast,"perform weather forecast analysis, assess meteorological forecast, make assessments of meteorological forecasts, conduct analyses of weather forecasts, analyse meteorological forecast, make assessments of weather forecasts, evaluate weather forecast, evaluate meteorological forecast, carry out evaluations of weather forecasts, conduct analyses of meteorological forecasts, assess weather forecast, perform analyses of weather forecasts"
animal biology,"biology of animals, animal-biology, evolution of animals, zoology, classification of animals"
anodising process,"anodising mechanisms, anodising operation, anodising procedure, electroplating measure, anodising measure, electroplating operation, electroplating procedure, electroplating mechanisms"
answer questions about the train transport service,"provide information on the services available on board a train, provide information on train services, provide information to passengers on train services, respond to questions about the train service, answer questions about train services, provide information on train amenities, respond to questions about train services, answer questions about the services available on a train journey, respond to questions about the train transport service, answer questions about the train service, provide information on train facilities"
anticipate change in car technology,"anticipate developments in car technology, follow advancements in car technology, follow developments in car technology, foresee changes in automobile technology, remain up-to-date with developments in car technology, anticipate developments in automobile technology, foresee changes in car technology, anticipate change in automobile technology, envisage developments in car technology, envisage advancements in car technology"
anticipate potential deficiencies,"anticipate potential flaws, foresee potential flaws, predict shortcomings, anticipate problems, predict potential deficiencies, anticipate potential issues, anticipate potential shortcomings, foresee deficiencies, anticipate potential weaknesses, predict problems"
apply 3D imaging techniques,
apply business acumen,"applying business acumen, implement business acumen, to apply business acumen, employ business acumen, administer business acumen, utilise business acumen, business acumen application"
apply change management,"utilise change management, apply changing management, implement change management, employ change management, administer change management, change management application, applying change management"
apply control process statistical methods,"apply a control process statistical methodology, employ control process statistical methods, apply control process statistical methodology, implement control process statistical methods, utilise control process statistical methods, administer control process statistical methods, apply control processing statistical method"
apply crisis management,"apply emergency and crisis management, handle crisis management, utilise crisis management, utilise disaster management, administer disaster management, administer crisis management, undertake disaster management, handle disaster management, undertake crisis management"
apply cross-reference tools for product identification,"implement cross checking processes for production analysis, implement cross checking processes for production classification, apply cross-reference tools for product determination, implement cross checking processes for production diagnosis, implement cross checking processes for production determination, apply cross-reference tools for product classification, apply cross-reference tools for product analysis, apply cross-reference tools for product diagnosis"
apply deep tissue massage,"practice deep tissue massage, utilise deep tissue massage, use deep tissue massage, utilize deep tissue massage"
apply digital mapping,"use digital mapping, applying digital mapping, engage in digital mapping, employ digital mapping"
apply electrolytes to cathodes and anodes,"implement electrolyte solution to cathodes and anodes, implement electrolytes to cathodes and anodes, administer electrolytes to cathodes and anodes, use electrolyte solution to cathodes and anodes, operate electrolyte solution to cathodes and anodes, operate electrolytes to cathodes and anodes, use electrolytes to cathodes and anodes, administer electrolyte solution to cathodes and anodes"
apply food technology principles,"applying food technology principles, implement food technology principles, apply a food technology principle, administer food technology principles, utilise food technology principles, employ food technology principles"
apply machine cutting techniques for footwear and leather goods,"perform machine cutting techniques for footwear and leather goods, apply machine cutting techniques for footwear and leatherwear, apply machine cutting techniques for footwear, apply machine cutting techniques for leather goods, carry out machine cutting techniques for footwear and leather goods, perform machine cutting techniques for footwear and leatherwear, apply machine cutting techniques and processes for footwear and leather goods, perform machine cutting techniques and processes for footwear and leather goods, execute machine cutting techniques for footwear and leather goods"
apply operations for an ITIL-based environment,"utilise operations for an ITIL-based environment, applying operations for ITIL-based environments, apply an operation for an ITIL-based environment, employ operations for an ITIL-based environment, applying operations for an ITIL-based environment, administer operations for an ITIL-based environment, implement operations for an ITIL-based environment"
apply precision farming,"applying precision farming, precision farming applying, using precision farming methods, use precision farming methods, precision farming methods using"
apply problem solving in social service,"apply problem-solving in social services, apply problem solving in social services, step-by-step problem solving process in social service, apply problem-solving techniques in social services"
apply restoration techniques,"apply restorative techniques, apply restoration methods, apply techniques for restoration, implement restoration methods"
apply safety management,"application of safety management, employ safety management, utilise safety management, applying safety management, safety management application, administer safety management, implement safety management"
apply statistical analysis techniques,apply numerical analysis to data
apply technical communication skills,"implement technical communication skills, application of technical communication skills, employ technical communication skills, utilise technical communication skills, administer technical communication skills, applying technical communication skills"
aquaculture production planning software,"range of aquaculture production planning software, kinds of aquaculture production planning software, kinds of fish farming software, types of aquaculture production planning software, typology of aquaculture production planning software, types of fish farming software, typology of fish farming software, range of fish farming software"
